skills,job_role
Project management Documentation Technical expertise ServiceNow Certified System Administrator (CSA) ServiceNow platform administration IT service management (ITSM) Customer service management (CSM) Service portfolio management (SPM) IT operations management (ITOM) Incident management Problem management Change management Service catalog management Request fulfillment Governance frameworks Performance monitoring Vendor management User training and support Data analysis Capacity planning Team leadership Stakeholder engagement Communication Collaboration Problem solving Continuous improvement Mentorship Customer-focused culture Adaptability Strategic thinking,ServiceNow - Information Technology Manager 
technical support troubleshooting software configuration operating systems software applications problem-solving communication prioritization time management teamwork hardware installation networking concepts diagnostic tools system performance monitoring software updates user account setup network security measures CompTIA A+ Network+ Microsoft Certified Professional,Information Technology Support Specialist
IT infrastructure network connectivity network services network security communication troubleshooting teamwork collaboration time management project management documentation problem-solving self-management customer service attention to safety data center operation Windows operating systems Active Directory Group Policy Windows PC support thin client support mobile devices support patching operating systems firmware upgrade cybersecurity tools Acronis backup management ThinManager digital modernization lifecycle management risk assessment data quality management GMP compliance computer system validation,Information Technology Infrastructure Engineer
hardware support software support networking troubleshooting security measures help desk systems user support processes problem-solving critical thinking attention to detail organization time management prioritization communication customer service collaboration Windows 10 Windows 11 Microsoft 365 AutoCAD Traverse ERP 3CX Zoom Microsoft Teams VoIP,Information Technology Support Specialist
Communication Collaboration Problem Solving Decision Making Self-Motivation Organization Teamwork Customer Engagement Leadership SAP ERP S/4 HANA ABAP IDOC SAP BW4 HANA SAP MDG SAP GRC SAP SRM SAP IBP Data Interfaces EDI SAP MM SAP SD SAP FICO Supply Chain Management Logistics Product Data Management Warehouse Management ITIL PRINCE2 Agile Methodologies JIRA Service Now Confluence Trello Slack Webex Skype for Business Sarbanes Oxley Compliance Analytical Skills Negotiation Influencing Skills Adaptability,"Director, Information Technology"
hardware inventory management organizational skills decision making communication teamwork problem solving machine learning statistical modeling data visualization mainframe operating systems storage hardware network hardware PC hardware server operating systems network services software installation system upgrades workstation setup server configuration software inventory management analytical skills adaptability to new technology,Analyst II - Information Technology
Helpdesk/Desktop Support Technical Skills Customer Success Communication Motivation Teamwork Problem Solving Business Fundamentals Networking Interviewing Skills Resume Building,Entry-level Information Technology (IT) Role
project management resource planning Office 365 documentation process documentation communication teamwork leadership problem solving strategic planning relationship building proactivity adaptability PMP certification risk management change management communication planning Primavera P6 Microsoft Project MS Power BI CRM (Microsoft Dynamics) Windchill SharePoint SPO SAP business case documentation mentoring confidentiality,"Senior Project Manager, Information Technology PMO"
Windows Network Installation Troubleshooting Communication Team Collaboration iPhone M365 Applications CATO VPN Intune JIRA Confluence Bilingual (Japanese and English) On-site Support Remote Support,Information Technology Technician
"hardware support software support network troubleshooting operating systems (Windows, Linux) Microsoft Office 365 database knowledge (MS SQL, Oracle) SQL scripting communication interpersonal skills teamwork problem-solving attention to detail adaptability training and guidance TCP/IP DNS DHCP VLANs Active Directory CompTIA A+ Network+ Microsoft Certified IT Professional (MCITP) Python scripting",Information Technology Support Technician
organization communication problem solving attention to detail teamwork hardware inventory management server rack and stack desktop hardware setup data center maintenance tier 1 support,Information Technology Technician
Analytical Thinking Attention to Detail Communication Problem Solving Team Collaboration IT Internal Controls Regulatory Compliance IT Sarbanes-Oxley (IT SOX) IT General Controls Risk Assessment IT Controls Frameworks Audit Methodologies COSO 2013 COBIT ISO Standards CMM ITIL PCI Compliance NIST Standards SSAE 18 SOC SAP Functional Knowledge,Information Technology Auditor
Microsoft Office/365 hardware troubleshooting software troubleshooting helpdesk support network equipment support customer service communication problem solving teamwork inventory control,Information Technology Help Desk
IT hardware support application support network support .NET C# SQL LAN/WAN support project management business systems understanding help desk support interpersonal skills communication team collaboration problem solving analytical skills adaptability Microsoft Visual Tools Blazor Telerik DevOps Agile DB design,Information Technology System Analyst
technical support hardware installation software installation network troubleshooting user account management IT inventory management computer hardware knowledge computer software knowledge networking concepts communication interpersonal skills teamwork adaptability motivation problem solving desire to learn emerging technologies evaluation,Information Technology Assistant
"system upgrades software implementation data conversion technical guidance vendor management backup and recovery processes root cause analysis documentation disaster recovery application evaluation IT infrastructure coordination application development leadership communication problem solving collaboration customer service orientation analytical thinking adaptability project management teamwork application support configuration management preventative maintenance testing (unit, integrated, user acceptance) customer satisfaction monitoring mentoring",Senior Information Technology Application Analyst
Business Acumen Collaboration Problem Solving Communication Leadership Strategic Thinking IT Management CloudSuite Warehouse Management Systems API Development Integration Experience Risk Analysis Risk Mitigation Software Purchasing Hardware Purchasing Subscription Management,Director of Information Technology
Project Management Communication Team Management Problem Solving Adaptability Microsoft Azure SDLC Agile Microsoft Exchange Office 365 SharePoint Intune Azure Active Directory OneDrive MS Teams JIRA iManage Workday Engage Time Management,Information Technology Project Manager
Risk Management SQL Cybersecurity Internal Controls Communication Project Management Analytical Skills Attention to Detail Planning and Organizing Collaboration Initiative IT Audit CIA Certification CISA Certification CISM Certification Data Analysis Linux Cloud Computing COBIT NIST SP 800 NIST CSF SSDLC Change Management Code Security Data Management,Senior Information Technology Auditor
project management system implementation accounting knowledge asset accounting sarbanes-oxley compliance IT environment experience collaboration independent planning communication problem solving reporting ad hoc analysis,Senior Information Technology Program Manager
help desk support information technology (IT) troubleshooting software communication problem solving coaching guidance teamwork adaptability computer repairs remote support troubleshooting hardware desktop mirroring cloud infrastructure installing computer hardware modifying computer hardware repairing computer software investigation follow-up,Information Technology Support Specialist (Active TS/SCI /wPoly)
enterprise technology data analysis Microsoft Suite application selection healthcare technology networking concepts communication collaboration customer orientation problem solving self-motivation organization leadership relationship building Microsoft certifications Active Directory Exchange Server Windows 10 management,Information Technology Business Partner
Project Coordination Microsoft VMS Data Analysis Communication Problem Solving Time Management Customer Service Teamwork Adaptability Customer Business Management System Scheduling Management Tools SAP Financial Reporting Callout Management (ARCOS) Preventative Maintenance Management,Information Technology Project Coordinator
Database Design SQL Performance Tuning Data Analysis Adhoc Reporting Troubleshooting Communication Problem Solving Teamwork Adaptability,Information Technology Specialist 2 (NY HELPs) - 5138
Hyper-V Administration Networking Microsoft 365 Administration Self-Motivated Customer Service Problem Solving Communication Adaptability Active Directory Management Routing VLANs VOIP Installation/Administration,Information Technology Support Specialist
data management data extraction team leadership communication problem solving stakeholder management cross-functional collaboration adaptability project management network infrastructure ERP systems project management software risk management PMP certification PRINCE2 certification IT infrastructure strategic thinking time management,Information Technology Project Manager
network security Fortigate firewalls cybersecurity cloud security problem solving troubleshooting communication teamwork self-motivation solutions-oriented thinking continuous improvement CrowdStrike Active Directory Okta EDR solutions security policies security training,Information Technology Security Administrator
Physical Inventory Management Communication Problem Solving Teamwork Adaptability Windows Administration Technical Support Desktop Hardware Support Instrument-Controlled Software Imaging of Computers Windows Security User/Group Permissions Management Group Policies Management Attention to Detail,Information Technology Technician
Microsoft Office Suite PDF Processing Teamwork Collaboration Communication Adaptability Problem Solving Salesforce Data Entry Internal Tool (CRS),Information Technology Project Coordinator
Application Development Project Management Risk Management Resource Allocation Cloud Technologies Communication Team Collaboration Problem Solving Stakeholder Management Adaptability Leadership Time Management Agile Confluence JIRA SharePoint SDLC Budget Management,Information Technology Project Manager
Communication Analytic Skills Critical Thinking Facilitation Skills Presentation Skills Collaboration Team Management Problem Solving Flexibility Responsiveness to Input Project Management Cybersecurity Tools Implementation PMP Certification APMP Certification Project Budget Management IT Project Management Methodology Project Standards Application Negotiation Cultural Adaptability,Senior Information Technology Project Manager
management experience technical customer support desktop support service desk technical leadership operating systems applications project management business management technical support leadership communication influencing organizational skills planning skills team building critical thinking adaptability problem-solving customer-centric,Information Technology Operations Manager
data analytics project management customer success communication networking motivation helpdesk support banking operations interviewing skills resume building,Entry-level Information Technology (IT) Role
Information Technology Project Management Healthcare experience Application Operations Implementation Customer Service Teamwork Initiative Problem Solving Engagement Communication EPIC certification Lab Operations, Information Technology Epic Beaker Application Analyst 2
troubleshooting technical support project management technology solutions system investigation documentation communication team leadership problem solving negotiation collaboration adaptability project planning administrative assistance insurance technology,Information Technology Manager
Project Management Tools SharePoint Waterfall Methodology Collaboration Communication Problem Solving Analytical Skills Autonomy Knowledge Sharing Project Coordination Smartsheet Excel PowerPoint SAP MS Project Teams Forms Agile Methodology Self-Motivation Commitment to Self-Development,Information Technology Project Coordinator
Computer Hardware Help Desk Support Problem Solving Communication Teamwork Adaptability Attention to Detail Reasoning Ability Microsoft Windows Microsoft Office Mobile Devices,Information Technology Intern
Request Management Documentation Collaboration Communication Attention to Detail Problem Solving Efficiency Optimization Liaison Skills ITSM Production Readiness Reviews (PRR) Incident Management Change Management Problem Management Runbooks Knowledgebase Articles JIRA ITIL Standards,Information Technology Operations Engineer
IT Management Vendor Implementations Client Integrations Development Projects Technical Skills Process Development Risk Mitigation Web Tools Organizational Skills Deadline Orientation Motivational Skills Problem Solving Negotiation Skills Self-Starter Teamwork Communication HIPAA Compliance,Healthcare Information Technology Consultant
Project Management Leadership Communication Collaboration Problem Solving Customer Focus Relationship Building Critical Thinking SQL Data Governance Data Visualization Database Management Data Analysis Information Technology Architecture Data Mining Business Metrics Alignment Data Curation Data Extraction Developing Others Written Communication Innovation,Hybrid - Data & Analytics Manager (Information Technology Manager 1)
Data Analytics Influencing Skills Communication Skills Relationship Building Credibility Establishment Collaboration Problem Solving Data Risk Management Operational Risk Management Regulatory Compliance Data Governance Risk Identification Risk Reporting NIST Framework ITIL Framework COBIT Framework Automation Solutions Integration Solutions Development Architecture Technology Trends Information Security Principles,Information Technology Risk Manager
SQL Server (2012+) Administration Strong sense of responsibility Ability to work independently Good interpersonal skills Communication skills Self-motivated Detail-minded Result-oriented Team player Creativity Excellent verbal skills Excellent written skills VMware vSphere 6/7/8 Storage Area Networks (SANs) Windows Active Directory (2012+) Office 365 Microsoft Azure Networking / Infrastructure Cisco / Dell Switches Juniper Next-Gen Firewalls (Palo Alto) Endpoint Security Management Windows 10/11 PCs Macintosh Linux PowerShell Scripting App Insights Stream Analytics Machine Learning - AI Disaster Recovery/Business Continuance Management,Information Technology Engineer
computer and software skills troubleshooting hardware and software issues resolution team-oriented communication problem solving customer service adaptability desktop support mobile device support printer setup and management Microsoft Teams setup and support Intune management Windows 10 support device migrations and setup,Information Technology Support Specialist
Independent work Guidance to others Planning Execution Communication VOIP phones Data communications equipment PC installation Printer installation Server installation Technical site surveys Data cable installation Troubleshooting Inventory control Desktop support,Information Technology Specialist(Desktop Support)
Microsoft Operating Systems Office Suite Active Directory Hardware Troubleshooting Software Troubleshooting Networking Concepts TCP/IP VPN Mobile Device Support IT Ticketing System System Backups Data Recovery User Education Problem Solving Communication Interpersonal Skills Independence Multi-tasking Prioritization DNS DHCP Technical Certifications,Information Technology Desktop Support
Project Management Budget Management Risk Management Quality Assurance Documentation Cross-Functional Coordination Communication Problem Solving Conflict Resolution Team Leadership Collaboration Adaptability SDLC Software Development PMP Certification,Information Technology Project Manager
Information Technology Strategy Team Leadership Project Management Budget Management Risk Assessment System Development Technical Proficiency Collaboration Communication Interpersonal Skills Organizational Skills Problem Solving Continuous Improvement Visionary Leadership Client Focus Adaptability Data Analysis MS Office Suite Ethical Conduct Cultural Awareness,Information Technology Vice President
desktop support laptop support iOS devices support troubleshooting Microsoft Networking Windows OS Mac OS MS Office MS 365 SharePoint email support internet browsers technical degree teamwork communication problem solving customer service adaptability MS Teams anti-virus software ticketing system ServiceNow A+ certification MCP certification,Information Technology Support Analyst
IT Project Management Budgeting System Administration Data Management Accountability Proactivity Critical Thinking Attention to Detail Collaboration Communication Analytical Skills Service Orientation Continuous Learning Forecasting Workday Financials PowerBI PowerApps SDLC Agile Project Management Excel PowerPoint Financial Reporting ERP Systems,Information Technology Project Coordinator
information technology data analysis network security collaboration problem solving communication organizational skills creativity cyber defense vendor management contract management negotiation procurement policies cloud software RFP management budget management digital transformation time management adaptability strategic thinking,Strategic Sourcing Manager: Cyber Defense & Engineering + Information Technology - USDS
"data management database management systems data security system architecture integration techniques testing methods communication problem solving analytical thinking adaptability project management team collaboration technical documentation data analysis cloud reporting and analytics data quality standards data mining data warehousing information assurance certification (e.g., Sec+)",Information Technology Specialist - Data Operations
Microsoft Office 2016 documentation communication customer service problem solving time management desktop support Microsoft Windows PC hardware repair Office 365 mobile device management iOS Android Blackberry IT problem diagnosis teamwork training flexibility,Information Technology Support Technician
IT Management Cyber Security Networking Team Management Technical Skills Communication Leadership Training Knowledge Sharing Problem Solving Service Desk Management Office 365 Active Directory Cloud Services,Information Technology Manager
customer service computer software communication teamwork organization judgment motivation interpersonal skills adaptability troubleshooting ticket management system technical support documentation operating systems call center applications service desk applications multitasking time management,Information Technology Support Specialist
"SQL Project Management Technical Documentation Communication Interpersonal Skills Analytical Skills Problem Solving Teamwork Time Management Customer Service Organizational Skills Leadership SAP Finance & Accounting SAP S4 SAP FI (GL, AP, AR, FA) SAP CO (CCA, PCA, Internal Orders) SAC Analytics SAC Planning Business Case Development Test Plan Creation User Acceptance Testing Reporting Tools Flexibility",Information Technology Business Analyst
cybersecurity communication strategic planning team management problem solving adaptability cloud migration ERP implementation infrastructure design M365 Dynamics ERP IT leadership IT staffing and support,Director of Information Technology
hardware management project management database management documentation communication interpersonal skills independence multitasking leadership problem solving collaboration attention to detail time management IT asset management CMDB ServiceNow ITSM tools vendor management licensing agreements data analysis reporting process design configuration management software management trend analysis auditing governance research negotiation team recruitment continuous improvement strategic planning supervision,Information Technology Asset Manager
SharePoint Teamwork Problem Solving Customer Service Self-Motivation Integrity Collaboration Communication Leadership Power BI SQL HTML JavaScript Power Automate ETL API Development Database Administration Reporting Technologies Microsoft Project Server JIRA Qlik Excel Data Extraction Automation Tools Agile,Information Technology Developer
System Administration Troubleshooting Teamwork Communication Customer Orientation Problem Solving Attention to Detail Adaptability Time Management Analytical Thinking Motivation Security Clearance Information Assurance Network Security Windows Server Administration Local Area Network (LAN) Technologies Wide Area Network (WAN) Technologies Configuration Management AIS Accreditation Risk Management Framework (RMF) Joint Security Implementation Guidance (JSIG) Data Backup Technologies Communication Security (COMSEC) PL1 & PL2 Systems PL3 & PL4 Cross Domain Solutions Microsoft Exchange Server System Security Policy Countermeasures Implementation Presentation Skills,Information Technology/Assurance Specialist
financial reporting advanced Excel SAP data analysis reporting tools purchase orders communication collaboration mentoring problem-solving process improvement budgeting cost control financial analysis project accounting GAAP principles accruals Agile methodologies Smartsheets change management,Senior Information Technology Project Manager- Financials
"Project Management MS Office (PowerPoint, Excel) Tech Infrastructure Knowledge Project Financials Understanding Communication Self-management Problem Solving Teamwork Proactivity Transition and Transformation (T&T) experience MS Project Smartsheet SharePoint",Information Technology Project Manager
Cyber Security Information Technology Technical Reporting Critical Thinking Analytical Skills Communication Problem Solving Independence Teamwork Research Skills Information Assurance Log Analysis SIEM Technologies Threat Intelligence Incident Response Network Security Vulnerability Management Operating Systems System Administration Endpoint Detection and Response Network Architecture MITRE ATT&CK Framework Cyber Kill Chain Threat Hunting,"Threat Hunting Analyst /Information Technology Specialist 3 (Information Security), ref 5776-10AR"
network infrastructure CAT5/6 cabling domain controller Active Directory management and implementations hands-on support problem solving communication teamwork scalable solutions wireless networks network switches WAN/LAN POS systems MSP experience firewall applications VPN applications,Information Technology Administrator
budget management data security project management database management leadership communication interpersonal skills strategic thinking team management decision-making problem-solving adaptability IT management hospitality industry knowledge property management systems IT infrastructure design system administration network management vendor management technology solutions identification system audits IT policy development telecommunications systems hardware and software testing training and development stakeholder engagement,Corporate Information Technology Manager Hotels
database management systems data integration problem solving communication analytical thinking teamwork organizational skills data management data quality standards cloud reporting and analytics data mining data warehousing information assurance certification (SEC+) query languages systems architecture cost analysis metadata management feasibility studies data governance backup and recovery normalization storage capacity management adaptability decision making attention to detail time management strategic planning,Information Technology - Data Management Specialist
help desk support customer service networking principles teamwork adaptability organizational skills oral communication written communication multi-tasking confidentiality cultural sensitivity compliance knowledge programming languages software development data science machine learning AI tools PowerBI Python Ellucian Banner Salesforce Java Perl R Oracle Database server administration SSL certificate maintenance Linux system administration DNS administration systems engineering software tools,Information Technology Specialist
"Attention to Detail Self-Motivated Collaboration Communication Problem Solving Time Management Adaptability Oracle Database Administration Disaster Recovery Procedures Database Backup/Recovery Utilities Recovery Manager (RMAN) Data Pump Flashback Technologies Media Management Integration Database Security Management Transparent Data Encryption (TDE) Lightweight Directory Access Protocol (LDAP) Authentication Data Masking Scripting Languages (Shell, Perl, Python) SQL PL/SQL Oracle Real Application Clusters (RAC) Grid Infrastructure Automated Storage Manager (ASM) Advanced Database Replication Solutions Materialized Views DataGuard GoldenGate",Senior Oracle Database Administrator (Senior Information Technology Systems Specialist)
Management Experience Customer Service Communication Problem Solving Teamwork Active Directory Windows Servers O365 Stakeholder Management Vendor Management,Information Technology Help Desk Manager
software development methodologies applications development process communication interpersonal skills analytical problem solving organizational skills time management self-motivation adaptability project management tools technical documentation laboratory procedures,Information Technology Project Coordinator
Help Desk Support Microsoft Office Windows Operating System Mac Operating System Server Operating Systems CCTV Systems Communication Problem Solving Time Management Customer Service Teamwork VPNs Multi-Factor Authentication (Duo) Access Control Systems,Information Technology Support Specialist
information technology project management cost-effective solutions communication collaboration customer focus problem solving accountability leadership adaptability programming network administration hardware and software implementation disaster recovery planning database concepts IT infrastructure design telecommunications systems developing others,Hybrid - Information Technology Manager 1
network administration Microsoft systems network management project management Cisco telephony customer service team building communication analytical skills problem resolution leadership relationship building presentation skills training initiative planning and organizational skills workload prioritization independence flexibility data center operations Office 365 virtualization (VMware) SAN storage Microsoft Server 2008/2012/2016 Microsoft SQL 2008/2014/2016 Microsoft Exchange Active Directory PowerShell Group Policy AWS Azure PaaS technologies travel readiness,Information Technology Infrastructure Manager
Communication Teamwork Client Interfacing Organizational Skills Problem Solving Adaptability Time Management Interpersonal Skills Collaboration Critical Thinking Independence Microsoft BI Stack Data Warehousing ETL Process SQL Server T-SQL Power BI SSIS SSAS SSRS OLAP Dimensional Modeling Dashboards Relational Database Design MDX Technical Infrastructure Architectural Frameworks Reporting Systems Heterogeneous Systems Database Technology Excel Services SharePoint PerformancePoint Trimble PMIS Systems UII System Leadership Stress Management Forward Thinking,Information Technology Program Manager – I
Office 365 Administration Troubleshooting Security Protocols Technical Support Cloud-Based Software Communication Collaboration Problem Solving Interpersonal Skills Independence Microsoft Intune JIRA Documentation Tools User Training,Information Technology Support Analyst
Windows Administration Active Directory Management Network Administration Hardware Support Disaster Recovery Planning Technical Infrastructure Management Problem Solving Communication Teamwork Adaptability Time Management Microsoft 365 Management Inventory Management Onboarding Processes Linux Support MacOS Support,Information Technology System Administrator
Microsoft Excel Analytical Skills Communication Problem Solving Attention to Detail Collaboration Adaptability Critical Thinking Customer Focus ERP Systems Data Integration Financial Applications ETL Development Reporting Services Cloud Functionality IFS SAP Concur Onestream Time Management,Information Technology Business Analyst
hardware/software troubleshooting computer deployment (SCCM/Autopilot) Microsoft Office troubleshooting customer service communication teamwork Active Directory,Information Technology Help Desk
information security network security security incident management security monitoring operating systems firewalls VPNs Microsoft 365 networking principles TCP/IP analytical abilities problem solving attention to detail communication teamwork confidentiality organization collaboration presentation skills conflict resolution forensic analysis vulnerability management client-server applications anti-virus products Azure security tools programming scripting languages open-source security analysis tools log data interpretation negotiation,Senior Information Technology Security Analyst
IT strategy development data security measures network management hardware procurement SQL data backup systems IT budget management web and mobile platform development leadership communication problem solving interpersonal skills teamwork adaptability CRM management API integration coaching,Director of Information Technology
Customer Engagement Interpersonal Skills Problem Solving Communication Team Management ZAFIRE INFORM GROUNDSTAR PLANNING REALTIME WORKFORCE PLUS Business Intelligence Data Analysis Reporting Project Management System Integration Dashboard Development Leadership Analytical Skills Decision Making,Information Technology System Manager
technical support hardware troubleshooting software troubleshooting documentation IT security policies IT service management communication collaboration customer service problem solving professionalism adaptability network troubleshooting Windows 10 Office 365 Microsoft Teams Dell computers Apple mobile devices,Information Technology Operations Intern - Summer 2024
network administration information technology network security troubleshooting customer service CompTIA A+ Network+ Security+ communication interpersonal skills teamwork independence attention to detail problem solving,Information Technology Help Desk
cyber security information technology computer programming system administration operating systems communication critical thinking problem solving analytical skills teamwork information assurance network security incident response log analysis SIEM technologies technical writing vulnerability management digital forensics penetration testing network vulnerability assessments web application vulnerability assessments intrusion detection systems firewalls routers risk management security architecture attention to detail time management adaptability,"Tier 1 JSOC Analyst/Information Technology Specialist 3 (Information Security), ref 5774-Tier 1"
IT systems implementation collaboration communication leadership problem solving adaptability project management Agile Scrum Master certification PMP certification SAFE certification financial services experience Waterfall methodology project planning task management dependency management milestone tracking time management,Senior Information Technology Project Manager
IT management network infrastructure budget management troubleshooting security compliance engineering application support leadership communication problem solving approachability team management cloud technologies vendor management,Director Information Technology Services
business analysis process flow documentation JIRA strategic planning product development product strategy communication presentation collaboration problem solving market research Confluence user insights design thinking,Information Technology Business Consultant
project management cybersecurity Office 365 leadership strategic thinking communication collaboration problem solving mentoring interpersonal skills team management user support training development IT management IT infrastructure budget management Azure Active Directory SharePoint VMware Veeam Fortinet EDR Cisco IOS MIMECAST SD-WAN ZTNA MPLS SIP PMP ITIL CISSP,Information Technology Manager
IT Support System Maintenance Hardware Installation Software Installation MS Project Help Desk Systems Problem Solving Multi-tasking Teamwork Communication Customer Interface Self-motivation Positive Attitude Logistics Applications MS Excel MS Word MS Visio Follow-up Skills,Information Technology Specialist
IT infrastructure management incident management project management problem management networking hardware support software support database knowledge report writing technical certifications access management system backups documentation communication analytical skills problem-solving delegation time management adaptability team collaboration customer service continuous improvement mindset event management,Information Technology Administrator
information technology expertise analytical skills problem solving communication decision making product management business requirements gathering business process optimization agile methodologies scrum methodologies market analysis data-driven decision making collaboration,Information Technology Product Manager (15+ experience in Pharma)
information technology vendor management contract management negotiation data analysis cloud software network security budget management digital transformation time management collaboration problem solving communication organizational skills adaptability strategic thinking cyber defense procurement policies RFP management creativity,Strategic Sourcing Manager: Cyber Defense & Engineering + Information Technology - USDS
Network Management Communication Interpersonal Skills Problem Solving Adaptability Ability to Work Under Pressure Documentation Collaboration Microsoft Windows Server IBM iSeries Linux VMware HP Switches Cisco Firewall Active Directory DNS DHCP Group Policy Data Integrity Checks Disaster Recovery Planning Desktop Support Version Control Systems Kanban Production Floor Systems Microsoft Great Plains Training,Senior Information Technology Specialist
Leadership Organizational Skills Planning Skills Multi-tasking Adaptability Communication Problem Solving Time Management Oracle PL/SQL Java Angular UI Spring Boot SQL DevOps GitHub Jenkins Visual Studio TFS API Management WSO2 Agile SOA Microservices Unit Testing System Testing ServiceNow Data Modeling UML Diagrams,Information Technology Specialist II
SQL Data Analysis Excel Database Management Critical Thinking Attention to Detail Technical Support Training Skills Communication Problem Solving Power BI C# VBA DAX Queries Report Development Dashboard Development,Information Technology Programmer
Excel Project Documentation Communication Presentation Skills Relationship Building Organization Skills Detail Oriented Multitasking Leadership PMP Certification MS Project Agile Methodologies Project Tracking Software Development Enterprise Level Technical Project Experience,Information Technology Project Manager
Microsoft Office Suite Analytical Skills Attention to Detail Financial Services Knowledge Technology Infrastructure Communication Skills Collaboration Problem Solving Time Management Organizational Skills Interpersonal Skills Adaptability Leadership Written Communication Verbal Communication IT Audit SOX Documentation Risk Assessment CISA CISSP CPA CIA GSNA Application Controls Internal Controls,Senior Information Technology Auditor
Windows OS Maintenance Technical Troubleshooting Virtual Machines (Hyper-V) Remote Management Tools Customer Service Communication Teamwork Problem Solving Adaptability Independence Multi-tasking Active Directory Windows Server Firewall Configuration Router Configuration Switch Configuration Ticketing Systems Backup Devices Network Printers Time Management,Information Technology Technician
"user documentation writing communication problem solving attention to detail adaptability organizational skills time management collaboration IT risk assessments compliance internal audit risk management framework Microsoft Office (Excel, PowerPoint, Word, Access, Visio) enterprise governance, risk and compliance systems (e.g., Archer) data analysis risk remediation financial industry best practices sensitive data handling self-motivation influencing skills independent decision making",Sr Information Technology Risk Analyst - IT Services
Database Structure Android OS iOS SQL Server Customer Service Problem Solving Communication Microsoft Office Word Excel SAP Software Troubleshooting Hardware Troubleshooting Computer Networks Windows XP Windows Vista Windows 7 Windows 8,Information Technology Technician
User Support Problem Solving Communication Teamwork Attention to Detail Time Management Active Directory Vaulting Server Privileged Access Manager (PAM) Azure Single Sign-On Service Accounts Management Group Policies Creation Internal Certificates Management Quarterly Access Audit Tanium,Information Technology Support Analyst III
"Networking Technologies Leadership Team Supervision Performance Management Communication Microsoft Windows Microsoft Operating Systems Desktop Imaging Tools (SCCM) Microsoft Office Suite Remote Access Technologies (Citrix, VPN) Practice/Litigation Support Applications Wireless PDA Technologies (iOS) Cabling Topologies Document Management System (Worksite) Mentorship",Lead Information Technology Specialist
Programming Project Management Communication Teamwork COBOL Z/OS OS/390 Z/VM,Information Technology Specialist
software design programming project management information analysis communication critical thinking organizational skills teamwork adaptability commitment to diversity engagement feedback provision independent work java python .net programming object-oriented programming web enabled information systems ios application development android application development learning management system (LMS) ed-tech tools inclusive teaching,"Adjunct Faculty, Information Technology, Software Design and Programming"
problem solving project management stakeholder management risk assessment resource management budget management Clarity PPM clinical trials quality management process improvement leadership communication team motivation mentoring decision making relationship building adaptability,Senior Information Technology Project Manager
PC Hardware Software Support Networking Microsoft Office Suite LAN Infrastructure VMware ESXi Microsoft Servers Printer Configuration Backup Software Barcode Scanning Systems ERP Systems Security Measures IT Asset Management Help Desk Support Technical Documentation Communication Customer Service Team Collaboration Problem Solving Training and Support Attention to Detail Project Management Adaptability EDI Compliance,Information Technology Analyst II
database software audit program tests internal controls financial audits operational audits information technology audits word processing spreadsheet software project coordination oral communication written communication interpersonal communication organization skills prioritization active listening relationship building diplomacy tact,"2024 Summer Audit Information Technology Intern Detroit, MI"
IT Project Management Project Management Tools Strategic Planning Technical Writing Data Management Budget Management Risk Management Change Management Healthcare Experience Public Health Knowledge Legacy System Upgrade Release Planning Communication Problem Solving Negotiation Team Leadership Flexibility Analytical Skills Collaboration Presentation Skills Stakeholder Management Adaptability Work Ethic Meeting Facilitation Influencing Skills Motivation Client Management Time Management Agile Methodology Scrum Kanban RFP Writing Data Conversion,Senior Information Technology Project Manager
IT governance audits application design SDLC project management vendor management MS Project communication presentation skills work ethic detail-oriented proactive ability to perform under pressure time management MS Excel MS Word MS PowerPoint MS Teams MS SharePoint JIRA Power BI,Senior Information Technology Auditor
Security Compliance (DOD STIGs) MS SQL Database Software Building Technical Support Problem Solving Communication Teamwork Adaptability Attention to Detail Integrity Windows Server Windows 10 User Account Administration Backup and Recovery Solutions Patching Solutions Virtualization Software SIEM Products DNS Management PKI Storage Area Networks Nessus Shavlik Assured Compliance Assessment Solution WSUS Hardware Installation Customer Service,Information Technology Specialist
IT management network management software installation data security project management procurement processes IT infrastructure technical support system troubleshooting technology trends leadership communication problem solving organizational skills time management interpersonal skills collaboration decision making adaptability budget management software licensing,Information Technology Manager
Windows operating systems customer service problem solving oral communication attention to detail troubleshooting technical support software installation network configuration automated ticketing systems information assurance certification hardware installation software updates telecommunications,Information Technology Specialist (CUSTSPT) with Security Clearance
Windows Active Directory Network troubleshooting Technical support Teamwork Communication Problem solving Adaptability Attention to detail COTS software Linux MS SQL Oracle System performance monitoring Application configuration,Information Technology Specialist 2 (NY HELPs) - 5680
desktop computers problem-solving communication customer service technical support troubleshooting printers IT support,Information Technology Help Desk Technician
installation configuration troubleshooting networking operating systems office productivity applications enterprise applications internet connectivity mobile devices printing devices peripheral devices diagnostics communication problem solving customer service teamwork adaptability attention to detail time management computer assembly third-party software email access VPN connections network cabling,Information Technology Generalist 1
"written communication verbal communication team collaboration independent work adaptability problem solving time management system security plans (SSP) NIST control requirements information security principles networking components operating systems NIST special publications security frameworks (ISO, NIST, COBIT, HIPAA/HITECH) CISA certification PMP certification Security+ certification security controls implementation",Information Technology Security Analyst
project management project management software budget management resource management stakeholder communication project planning communication customer service decision making interpersonal skills leadership problem solving team building agile scrum waterfall lean risk management quality assurance vendor management financial forecasting flexibility,Information Technology Project Manager
